2025-08-28 15:39:54,835 - INFO - Camera configuration has been adjusted!
2025-08-28 15:39:54,837 - INFO - Configuration successful!
2025-08-28 15:39:56,357 - INFO - Camera started
2025-08-28 15:39:58,764 - INFO - ['22.63', '-3.88', '-2.00', '22.63', '-3.88', '-2.00', '22.63', '-3.88', '-2.00', '137', '45', '48228', '44', '6412', '-618', '0', '3', '0', '0', '']
2025-08-28 15:39:58,825 - INFO - ['22.63', '-3.88', '-2.00', '22.63', '-3.88', '-2.00', '22.63', '-3.88', '-2.00', '137', '45', '48228', '45', '6412', '-618', '0', '3', '0', '0', '']
2025-08-28 15:39:58,926 - INFO - ['22.63', '-3.88', '-2.00', '22.63', '-3.88', '-2.00', '22.63', '-3.88', '-2.00', '137', '45', '48228', '44', '6412', '-618', '0', '3', '0', '0', '']
2025-08-28 15:39:59,032 - INFO - ['22.56', '-3.88', '-2.00', '22.56', '-3.88', '-2.00', '22.56', '-3.88', '-2.00', '138', '45', '48228', '45', '6412', '-618', '0', '3', '0', '0', '']
2025-08-28 15:39:59,138 - INFO - ['22.44', '-3.88', '-2.06', '22.44', '-3.88', '-2.06', '22.44', '-3.88', '-2.06', '141', '45', '48228', '45', '6412', '-618', '0', '3', '0', '0', '']
2025-08-28 15:39:59,243 - INFO - ['22.25', '-3.88', '-2.06', '22.25', '-3.88', '-2.06', '22.25', '-3.88', '-2.06', '139', '45', '48228', '44', '6412', '-630', '0', '3', '0', '0', '']
2025-08-28 15:39:59,347 - INFO - ['21.94', '-3.88', '-2.06', '21.94', '-3.88', '-2.06', '21.94', '-3.88', '-2.06', '139', '45', '48228', '44', '6412', '-647', '0', '3', '0', '0', '']
2025-08-28 15:39:59,454 - INFO - ['21.56', '-3.88', '-2.06', '21.56', '-3.88', '-2.06', '21.56', '-3.88', '-2.06', '136', '46', '48228', '44', '6412', '-668', '0', '3', '0', '0', '']
2025-08-28 15:39:59,560 - INFO - ['21.06', '-3.88', '-2.06', '21.06', '-3.88', '-2.06', '21.06', '-3.88', '-2.06', '137', '46', '48228', '44', '6412', '-688', '0', '3', '0', '0', '']
2025-08-28 15:39:59,667 - INFO - ['20.63', '-3.94', '-2.06', '20.63', '-3.94', '-2.06', '20.63', '-3.94', '-2.06', '140', '46', '48228', '43', '6412', '-710', '0', '3', '0', '0', '']
2025-08-28 15:39:59,726 - INFO - ['20.31', '-3.88', '-2.06', '20.31', '-3.88', '-2.06', '20.31', '-3.88', '-2.06', '140', '46', '48228', '43', '6412', '-720', '0', '3', '0', '0', '']
2025-08-28 15:39:59,833 - INFO - ['19.88', '-4.00', '-2.13', '19.88', '-4.00', '-2.13', '19.88', '-4.00', '-2.13', '129', '46', '48228', '43', '6412', '-741', '0', '3', '0', '0', '']
2025-08-28 15:39:59,985 - INFO - ['19.00', '-3.94', '-2.13', '19.00', '-3.94', '-2.13', '19.00', '-3.94', '-2.13', '65', '47', '48228', '43', '6412', '-771', '0', '3', '0', '0', '']
2025-08-28 15:40:00,132 - INFO - ['18.44', '-3.94', '-2.13', '18.44', '-3.94', '-2.13', '18.44', '-3.94', '-2.13', '62', '47', '48228', '42', '6412', '-797', '0', '3', '0', '0', '']
2025-08-28 15:40:00,237 - INFO - ['18.06', '-3.94', '-2.13', '18.06', '-3.94', '-2.13', '18.06', '-3.94', '-2.13', '62', '48', '48228', '41', '6412', '-816', '0', '3', '0', '0', '']
2025-08-28 15:40:00,341 - INFO - ['17.50', '-3.94', '-2.19', '17.50', '-3.94', '-2.19', '17.50', '-3.94', '-2.19', '61', '48', '48228', '42', '6412', '-839', '0', '3', '0', '0', '']
