2025-08-28 15:41:09,746 - INFO - Camera configuration has been adjusted!
2025-08-28 15:41:09,748 - INFO - Configuration successful!
2025-08-28 15:41:11,273 - INFO - Camera started
2025-08-28 15:41:11,298 - INFO - ['359.94', '-3.75', '-2.13', '359.94', '-3.75', '-2.13', '359.94', '-3.75', '-2.13', '127', '21', '44132', '71', '6412', '0', '0', '3', '0', '0', '']
2025-08-28 15:41:11,643 - INFO - ['359.94', '-3.75', '-2.25', '359.94', '-3.75', '-2.25', '359.94', '-3.75', '-2.25', '126', '21', '44132', '70', '6412', '0', '0', '3', '0', '0', '']
2025-08-28 15:41:11,989 - INFO - ['359.94', '-3.75', '-2.13', '359.94', '-3.75', '-2.13', '359.94', '-3.75', '-2.13', '125', '21', '44132', '71', '6412', '0', '0', '3', '0', '0', '']
2025-08-28 15:41:12,098 - INFO - ['359.94', '-3.75', '-2.13', '359.94', '-3.75', '-2.13', '359.94', '-3.75', '-2.13', '126', '21', '44132', '71', '6412', '0', '0', '3', '0', '0', '']
2025-08-28 15:41:12,202 - INFO - ['359.94', '-3.75', '-2.13', '359.94', '-3.75', '-2.13', '359.94', '-3.75', '-2.13', '126', '21', '44132', '71', '6412', '0', '0', '3', '0', '0', '']
2025-08-28 15:41:12,260 - INFO - ['359.94', '-3.75', '-2.13', '359.94', '-3.75', '-2.13', '359.94', '-3.75', '-2.13', '125', '21', '44132', '71', '6412', '0', '0', '3', '0', '0', '']
2025-08-28 15:41:12,319 - INFO - ['359.94', '-3.75', '-2.13', '359.94', '-3.75', '-2.13', '359.94', '-3.75', '-2.13', '126', '20', '44132', '71', '6412', '0', '0', '3', '0', '0', '']
2025-08-28 15:41:12,425 - INFO - ['359.94', '-3.75', '-2.13', '359.94', '-3.75', '-2.13', '359.94', '-3.75', '-2.13', '125', '21', '44132', '71', '6412', '0', '0', '3', '0', '0', '']
2025-08-28 15:41:12,532 - INFO - ['359.94', '-3.75', '-2.13', '359.94', '-3.75', '-2.13', '359.94', '-3.75', '-2.13', '125', '20', '44132', '71', '6412', '0', '0', '3', '0', '0', '']
2025-08-28 15:41:12,591 - INFO - ['359.94', '-3.75', '-2.13', '359.94', '-3.75', '-2.13', '359.94', '-3.75', '-2.13', '126', '20', '44132', '71', '6412', '0', '0', '3', '0', '0', '']
2025-08-28 15:41:12,650 - INFO - ['359.94', '-3.75', '-2.13', '359.94', '-3.75', '-2.13', '359.94', '-3.75', '-2.13', '125', '21', '44132', '71', '6412', '0', '0', '3', '0', '0', '']
2025-08-28 15:41:12,712 - INFO - ['359.94', '-3.75', '-2.13', '359.94', '-3.75', '-2.13', '359.94', '-3.75', '-2.13', '126', '20', '44132', '71', '6412', '0', '0', '3', '0', '0', '']
